Date,Adjusted Returns
13/6/2014,0.010079232
16/6/2014,-0.001301732
17/6/2014,0.001086007
18/6/2014,-0.003471305
19/6/2014,-0.010341987
20/6/2014,-0.00088004
23/6/2014,-0.006055191
24/6/2014,0.000886181
25/6/2014,0.005975948
26/6/2014,0.011881364
27/6/2014,0.0103284
30/6/2014,0.006348765
1/7/2014,-0.000427786
2/7/2014,0.00588363
3/7/2014,0.020631929
7/7/2014,-0.006460611
8/7/2014,0.000419576
9/7/2014,-0.003669084
10/7/2014,0.001893808
11/7/2014,0.012917557
14/7/2014,-0.011715941
15/7/2014,-0.00566516
16/7/2014,-0.017830693
17/7/2014,0.014394568
18/7/2014,-0.005189018
21/7/2014,0.008303172
22/7/2014,0.026076969
23/7/2014,-0.001646272
24/7/2014,0.006595845
25/7/2014,0.013821931
28/7/2014,-0.006463202
29/7/2014,-0.002338044
30/7/2014,-0.025980452
31/7/2014,0.00554391
1/8/2014,-0.005617345
4/8/2014,-0.004916872
5/8/2014,-0.001682006
6/8/2014,-0.000105638
7/8/2014,0.002751701
8/8/2014,0.013193887
11/8/2014,-0.000208212
12/8/2014,0.013233302
13/8/2014,0.002673521
14/8/2014,0.004923456
15/8/2014,0.012043157
18/8/2014,0.013815997
19/8/2014,0.000397801
20/8/2014,9.95E-05
21/8/2014,0.007357417
22/8/2014,0.002171077
25/8/2014,-0.006401396
26/8/2014,0.012290698
27/8/2014,0.001175026
28/8/2014,0.002444979
29/8/2014,0.007804829
2/9/2014,-0.042207236
3/9/2014,-0.008287585
4/9/2014,0.008662696
5/9/2014,-0.006163299
8/9/2014,-0.003761737
9/9/2014,0.03071733
10/9/2014,0.004257492
11/9/2014,0.00226754
12/9/2014,-0.000295278
15/9/2014,-0.007576449
16/9/2014,0.007138748
17/9/2014,0.002067341
18/9/2014,-0.008153923
19/9/2014,0.000990423
22/9/2014,0.015634139
23/9/2014,-0.008670986
24/9/2014,-0.038132628
25/9/2014,0.029426498
26/9/2014,-0.006352268
29/9/2014,0.006392878
30/9/2014,-0.01558285
1/10/2014,0.007259494
2/10/2014,-0.002802636
3/10/2014,0.0000001
6/10/2014,-0.00873356
7/10/2014,0.020759761
8/10/2014,0.002182525
9/10/2014,-0.002870953
10/10/2014,-0.009133169
13/10/2014,-0.010620348
14/10/2014,-0.012253069
15/10/2014,-0.013122981
16/10/2014,0.014648198
17/10/2014,0.02139867
20/10/2014,0.027164973
21/10/2014,0.005074525
22/10/2014,0.017866052
23/10/2014,0.003720075
24/10/2014,-0.001045262
27/10/2014,0.015507398
28/10/2014,0.005621065
29/10/2014,-0.003353668
30/10/2014,0.009534431
31/10/2014,0.012963077
3/11/2014,-0.007312647
4/11/2014,0.00239401
5/11/2014,0.002859963
6/11/2014,0.002852115
7/11/2014,-0.001651285
10/11/2014,0.007994126
11/11/2014,0.014129504
12/11/2014,0.014112412
13/11/2014,0.012054281
14/11/2014,-0.001663834
17/11/2014,0.012983476
18/11/2014,-0.006928105
19/11/2014,0.01430192
20/11/2014,0.001375612
21/11/2014,0.018545566
24/11/2014,-0.008682506
25/11/2014,0.011904806
26/11/2014,-0.000588268
28/11/2014,-0.03245608
1/12/2014,-0.003823712
2/12/2014,0.011340821
3/12/2014,-0.003795272
4/12/2014,-0.004242904
5/12/2014,-0.022608807
8/12/2014,0.015302646
9/12/2014,-0.019015053
10/12/2014,-0.002947739
11/12/2014,-0.016932388
12/12/2014,-0.013669866
15/12/2014,-0.013674844
16/12/2014,0.024918139
17/12/2014,0.029613483
18/12/2014,-0.007723176
19/12/2014,0.010377598
22/12/2014,-0.003541723
23/12/2014,-0.004709408
24/12/2014,0.017676962
26/12/2014,-0.000701881
29/12/2014,-0.012202555
30/12/2014,-0.019018788
31/12/2014,-0.009512717
2/1/2015,-0.028171491
5/1/2015,9.42E-05
6/1/2015,0.014022206
7/1/2015,0.038422097
8/1/2015,0.001072615
9/1/2015,-0.02464067
12/1/2015,0.00887848
13/1/2015,-0.003810213
14/1/2015,-0.027140531
15/1/2015,-0.007770009
16/1/2015,0.025757198
20/1/2015,0.007634377
21/1/2015,0.026015324
22/1/2015,0.005160365
23/1/2015,0.001061902
26/1/2015,-0.035013054
27/1/2015,0.056532866
28/1/2015,0.031133345
